epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,56.5742,1.07443,3.62257,1.62066,0.60398,0.1955,0.19849,0.10052,1.4781,2.84775,2.11133,0.000235796,0.000235796,0.000235796
2,130.824,1.11597,2.7234,1.64141,0.5453,0.39209,0.39967,0.22022,1.45401,2.61054,2.30073,0.000464415,0.000464415,0.000464415
3,202.939,1.16733,2.30652,1.67078,0.41213,0.43079,0.40724,0.21464,1.54389,2.38433,2.25604,0.000683609,0.000683609,0.000683609
4,265.981,1.16266,2.10591,1.65412,0.56311,0.51831,0.5022,0.25341,1.74956,2.14678,2.37816,0.000671588,0.000671588,0.000671588
4,46.2064,1.16613,2.17172,1.65585,0.45753,0.53118,0.47763,0.27113,1.46256,2.11177,2.16016,0.000671588,0.000671588,0.000671588
5,86.554,1.08972,1.8833,1.60385,0.64754,0.54382,0.5848,0.32042,1.45969,1.89127,2.10845,0.000657451,0.000657451,0.000657451
6,127.951,1.08392,1.78367,1.58942,0.69286,0.51419,0.58262,0.35485,1.33487,1.74269,2.03988,0.000643314,0.000643314,0.000643314
7,169.189,1.09494,1.70765,1.59728,0.58848,0.65422,0.63204,0.37341,1.35198,1.7311,2.05956,0.000629177,0.000629177,0.000629177
8,210.311,1.06895,1.63326,1.56617,0.76016,0.58341,0.64171,0.39131,1.2691,1.69765,1.96823,0.00061504,0.00061504,0.00061504
9,251.067,1.04139,1.5649,1.55026,0.68574,0.58982,0.65022,0.38632,1.34643,1.57537,2.05123,0.000600902,0.000600902,0.000600902
10,291.683,1.03185,1.4899,1.53518,0.65928,0.60986,0.64691,0.40195,1.29106,1.55905,2.01189,0.000586765,0.000586765,0.000586765
11,332.287,1.03468,1.41437,1.528,0.77749,0.62007,0.6907,0.41612,1.32547,1.47399,2.0262,0.000572628,0.000572628,0.000572628
12,373.206,1.00393,1.3859,1.51847,0.72462,0.69605,0.73514,0.46988,1.23791,1.29574,1.90253,0.000558491,0.000558491,0.000558491
13,414.177,1.00546,1.34128,1.50016,0.76998,0.71436,0.74458,0.49535,1.22032,1.18243,1.86987,0.000544354,0.000544354,0.000544354
14,454.867,1.00623,1.2908,1.52427,0.72107,0.70424,0.74364,0.47986,1.24795,1.24902,1.86384,0.000530216,0.000530216,0.000530216
15,495.482,0.9591,1.25786,1.48587,0.75658,0.67968,0.74062,0.49063,1.21973,1.1738,1.85693,0.000516079,0.000516079,0.000516079
16,536.095,0.96729,1.24937,1.48256,0.8122,0.70825,0.77804,0.51952,1.20047,1.11917,1.86833,0.000501942,0.000501942,0.000501942
17,576.823,0.9203,1.21393,1.44299,0.72173,0.71817,0.73711,0.47368,1.26362,1.27676,1.93855,0.000487805,0.000487805,0.000487805
18,617.502,0.94119,1.16323,1.46107,0.74228,0.70733,0.74985,0.49195,1.18204,1.22941,1.85289,0.000473668,0.000473668,0.000473668
19,658.182,0.90482,1.14579,1.45595,0.76784,0.74104,0.78255,0.53868,1.14171,1.08138,1.77899,0.00045953,0.00045953,0.00045953
20,698.717,0.9085,1.12099,1.43629,0.84624,0.76791,0.82129,0.56071,1.13472,0.99633,1.76048,0.000445393,0.000445393,0.000445393
21,739.626,0.90066,1.08458,1.42249,0.81311,0.75764,0.80284,0.53513,1.17153,1.08319,1.76392,0.000431256,0.000431256,0.000431256
22,782.605,0.90545,1.06681,1.43061,0.81625,0.73183,0.79622,0.54591,1.09518,1.03426,1.72869,0.000417119,0.000417119,0.000417119
23,823.181,0.87951,1.0693,1.4239,0.80009,0.76481,0.80306,0.56258,1.09159,0.98679,1.71573,0.000402982,0.000402982,0.000402982
24,863.619,0.88951,1.06346,1.41881,0.80838,0.75742,0.7948,0.56013,1.08277,1.04369,1.70148,0.000388844,0.000388844,0.000388844
25,904.286,0.86871,1.00401,1.39872,0.79411,0.80776,0.82608,0.57841,1.10452,0.94051,1.71587,0.000374707,0.000374707,0.000374707
26,944.358,0.86764,0.99331,1.39897,0.82436,0.79202,0.82847,0.55932,1.1587,0.92339,1.79873,0.00036057,0.00036057,0.00036057
27,984.499,0.89479,0.99462,1.40801,0.80958,0.7659,0.80562,0.56825,1.09567,0.982,1.70791,0.000346433,0.000346433,0.000346433
28,1025.59,0.8627,0.9652,1.39298,0.84443,0.78771,0.83013,0.58274,1.05799,0.92498,1.65707,0.000332296,0.000332296,0.000332296
29,1065.83,0.84156,0.95311,1.39008,0.84418,0.80511,0.83441,0.58544,1.05023,0.87923,1.68574,0.000318158,0.000318158,0.000318158
30,1106,0.84118,0.93114,1.37967,0.83522,0.77942,0.82284,0.57609,1.08055,0.91844,1.69696,0.000304021,0.000304021,0.000304021
31,1146.26,0.8211,0.91787,1.36784,0.81155,0.79589,0.82059,0.5823,1.0682,0.88891,1.65883,0.000289884,0.000289884,0.000289884
32,1186.28,0.80212,0.88246,1.3481,0.81341,0.80035,0.82519,0.60054,1.0359,0.86584,1.66202,0.000275747,0.000275747,0.000275747
33,1226.57,0.81209,0.85624,1.35493,0.83842,0.80455,0.84051,0.59406,1.02632,0.87137,1.65006,0.00026161,0.00026161,0.00026161
34,1267.22,0.80627,0.85994,1.35194,0.8295,0.78828,0.82755,0.59662,1.03746,0.84572,1.65208,0.000247472,0.000247472,0.000247472
35,1308.24,0.80414,0.86234,1.35374,0.82758,0.79214,0.8249,0.58027,1.06226,0.8923,1.65524,0.000233335,0.000233335,0.000233335
36,1348.37,0.79248,0.84054,1.35117,0.82322,0.80021,0.83617,0.59583,1.04835,0.866,1.69236,0.000219198,0.000219198,0.000219198
37,1388.3,0.77637,0.8311,1.32455,0.83699,0.78454,0.83764,0.6107,1.00553,0.84176,1.61774,0.000205061,0.000205061,0.000205061
38,1428.14,0.77053,0.82835,1.32538,0.84102,0.80576,0.84549,0.61199,0.9998,0.81354,1.6037,0.000190924,0.000190924,0.000190924
39,1468.65,0.78463,0.82024,1.33306,0.8132,0.8252,0.85105,0.61867,1.00066,0.83538,1.63578,0.000176786,0.000176786,0.000176786
40,1692.01,0.7403,0.78837,1.30761,0.83987,0.81139,0.848,0.61175,1.00912,0.84632,1.63525,0.000162649,0.000162649,0.000162649
